k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12
1.537931477199443897e+00,3.014087334380446404e-01,3.014093003620059719e-01,4.388423150665086703e-01,4.388446657001583984e-01,5.324624756791320745e-01,5.635390228629667542e-01,5.635412193819357984e-01,6.220240486746115849e-01,6.402167177259332487e-01,6.417354302282073375e-01,6.417398797577422709e-01,6.948230751620358969e-01
1.579170782141560148e+00,2.900755683342995939e-01,2.900761919037784242e-01,4.477643871632699391e-01,4.477666828300381208e-01,5.331344685528511818e-01,5.640179140034043970e-01,5.640200950270509717e-01,6.226578958573054656e-01,6.393168680385072911e-01,6.423222464944120524e-01,6.423267296368017076e-01,6.940511991267102054e-01
1.620410087083676398e+00,2.771839069558438284e-01,2.771845672802256688e-01,4.575480898808443886e-01,4.575503544705004644e-01,5.339948122308627587e-01,5.646539457189122535e-01,5.646560938060253276e-01,6.234610109429102875e-01,6.381354860892559655e-01,6.430249331105729604e-01,6.430294463959831397e-01,6.929924197229877514e-01
1.661649392025792427e+00,2.631547044631568633e-01,2.631553826774639115e-01,4.677630522320525008e-01,4.677653107378891284e-01,5.350402036865714583e-01,5.654628539473499638e-01,5.654649642101174933e-01,6.244242006835364345e-01,6.366624763001952347e-01,6.438053495303197593e-01,6.438098830392805505e-01,6.915922161566797621e-01
1.702888696967908455e+00,2.482606314023315663e-01,2.482613114781405117e-01,4.781207669935859661e-01,4.781230450008729926e-01,5.362660857156626992e-01,5.664647450776676418e-01,5.664668175443101639e-01,6.255358109489203011e-01,6.348932162698452952e-01,6.446174991354298722e-01,6.446220317298418934e-01,6.897988536776197277e-01
1.744128001910024706e+00,2.326817323403762572e-01,2.326824011344981180e-01,4.884158461321714828e-01,4.884181718576272035e-01,5.376662927417970028e-01,5.676851039160019097e-01,5.676871292882071929e-01,6.267814422856805567e-01,6.328315642505388805e-01,6.454076781957818199e-01,6.454121747612311388e-01,6.875958584109679306e-01
1.785367306852140956e+00,2.165416942889137608e-01,2.165423411081757454e-01,4.984857694501037551e-01,4.984881740712079901e-01,5.392325816784311332e-01,5.691562470597593126e-01,5.691582074199089680e-01,6.281436637693325054e-01,6.304919968948690112e-01,6.461146228012719650e-01,6.461190303532426960e-01,6.850375643447061957e-01
1.826606611794256985e+00,1.999298026170991394e-01,1.999304186974904529e-01,5.081842721856647538e-01,5.081867889199598309e-01,5.409540044853081708e-01,5.709188733096305368e-01,5.709207660985815558e-01,6.279006161377348461e-01,6.296016578586369761e-01,6.466700650194555644e-01,6.466743152416010165e-01,6.822597128905362185e-01
1.867845916736373013e+00,1.829140913355922493e-01,1.829146694230729397e-01,5.173640645744498334e-01,5.173667320175200368e-01,5.428160669514046077e-01,5.730225886968797200e-01,5.730243862675190591e-01,6.250950813277766915e-01,6.311308516247209344e-01,6.470012614950048091e-01,6.470052537494289657e-01,6.794547357891278505e-01
1.909085221678489264e+00,1.655492074876374897e-01,1.655497416623233908e-01,5.258683089079601025e-01,5.258711648396438010e-01,5.447995506381714259e-01,5.755219735439940365e-01,5.755236853582346157e-01,6.221238623755391828e-01,6.327025672518368227e-01,6.470386834597589010e-01,6.470422738965301290e-01,6.768305943445546147e-01
1.950324526620605514e+00,1.478813185063783120e-01,1.478818039761245484e-01,5.335349418833507107e-01,5.335380180207065504e-01,5.468789258570875278e-01,5.784624543038259237e-01,5.784640531126676866e-01,6.190453860193090296e-01,6.342837415620798946e-01,6.467330701741111909e-01,6.467361350916325247e-01,6.745714471134819368e-01
1.991563831562721543e+00,1.299510763447056516e-01,1.299515089757840580e-01,5.402193382883406780e-01,5.402226451164896526e-01,5.490200593703812304e-01,5.818491334837263551e-01,5.818506381648240744e-01,6.159279439999347794e-01,6.358368748322135167e-01,6.460818213626294826e-01,6.460842424921973137e-01,6.728036566458565071e-01
2.032803136504837571e+00,1.117956082969830262e-01,1.117959842024413425e-01,5.458319264308305607e-01,5.458354448797160252e-01,5.511772420181942911e-01,5.856029906160574727e-01,5.856044114927951849e-01,6.128504584688239110e-01,6.373202660681585030e-01,6.451507845473251068e-01,6.451525119723282575e-01,6.715724250286096986e-01
2.074042441446953600e+00,9.344969165553980439e-02,9.345000865407351864e-02,5.503668604692583122e-01,5.503705433997194696e-01,5.532891490665651224e-01,5.895300991185754569e-01,5.895314814887936405e-01,6.099049275040040463e-01,6.386888476323209218e-01,6.440705469497197688e-01,6.440716326198556718e-01,6.708421260658791185e-01
2.115281746389069628e+00,7.494657310207748779e-02,7.494682875745352357e-02,5.538934929018740627e-01,5.538972750934098022e-01,5.552744387017223282e-01,5.933365240642314298e-01,5.933379208805550364e-01,6.071996412523766873e-01,6.398956998920526384e-01,6.430016746109010750e-01,6.430023066830574674e-01,6.705201873466815066e-01
2.156521051331185657e+00,5.631860176385339312e-02,5.631879479508002107e-02,5.565145096090767796e-01,5.565183436841778519e-01,5.570286664698798074e-01,5.966894867940656377e-01,5.966908880126132741e-01,6.048616192720539519e-01,6.408945907419270061e-01,6.420880240586935850e-01,6.420885434235927836e-01,6.704848583572531329e-01
2.197760356273301685e+00,3.759734736650455905e-02,3.759747650390168200e-02,5.583237088777408541e-01,5.583275115354576768e-01,5.584264896600830141e-01,5.992906445433541229e-01,5.992921528189777414e-01,6.030339728552631673e-01,6.414210528438437642e-01,6.414216474166927195e-01,6.416433454314396378e-01,6.706026381429046612e-01
2.238999661215417714e+00,1.881414808857978863e-02,1.881421302943912452e-02,5.593365047304154070e-01,5.593859041756560346e-01,5.593898437412226921e-01,6.009273168386495279e-01,6.009288404439525610e-01,6.018606282871148405e-01,6.410295791255801179e-01,6.410303154494793043e-01,6.421076030699914838e-01,6.707426547990196219e-01
2.280238966157533742e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.596536205223429095e-01,5.597358781804603334e-01,5.597397844066122063e-01,6.014543842635833304e-01,6.014832488102854757e-01,6.014872200415044556e-01,6.409028135086960454e-01,6.409035678707232231e-01,6.422649935293860413e-01,6.708027813486392432e-01
